front,hl,word,meaning,analogy
"学而时习之","之","之·代词：他/它","代指学过的知识","= it/them"
"千里之行","之","之·助词：的","千里的路程","= 的/of"
"大道之行也","之","之·取消句子独立性","大道的施行","≈ 使句子变成短语"
"温故而知新","而","而·表并列：而且","温习旧知而且获得新知","= and"
"学而不思则罔","而","而·表转折：但是","学了但是不思考就会迷惑","= but"
"吾恂恂而起","而","而·表修饰：地","我小心地起身","= -ly（修饰动词）"
"食马者不知其能千里而食也","其","其·代词：它的","它的（指千里马）的能力","= its/his/her"
"其真不知马也？","其","其·副词：大概/难道","大概是真的不认识千里马","= perhaps/surely"
"其人视端容寂","其","其·指示：那","那个人","= that"
"以刀劈狼首","以","以·介词：用","用刀劈砍狼头","= with/using"
"以光先帝遗德","以","以·连词：来","来发扬光大先帝的遗德","= in order to"
"皆以美于徐公","以","以·认为","都认为比徐公美","= think/consider"
"战于长勺","于","于·介词：在","在长勺作战","= at/in"
"皆美于徐公","于","于·介词：比","都比徐公美","= than（比较）"
"告之于帝","于","于·介词：向","向天帝报告","= to"
"为人谋而不忠乎","为","为 wèi·替/给","替别人谋划","= for"
"可以为师矣","为","为 wéi·成为","可以成为老师了","= become"
"二虫尽为所吞","为","为 wéi·被","两只虫子全被吞掉","= by（被动）"
"乃重修岳阳楼","乃","乃·于是/就","于是重新修建岳阳楼","= then/so"
"乃不知有汉","乃","乃·竟然","竟然不知道有汉朝","= unexpectedly"
"此乃英雄也","乃","乃·是（判断）","这就是英雄","= is"
"学而不思则罔","则","则·就","学了不思考就会迷惑","= then"
"则凡可以得生者何不用也","则","则·那么","那么凡是能保命的有什么不能用","= then/in that case"
"则人物略不相睹","则","则·原来是","原来是人和物互相看不清","= it turned out that"
"食马者","者","者·……的人","喂马的人","= one who/-er"
"古之学者必有师","者","者·……的人","古代求学的人一定有老师","= one who / -er"
"陈胜者，阳城人也","者","者·表停顿","陈胜这个人，是阳城人","= 提顿语气"
"道之所存","所","所·……的地方","道存在的地方","= place where"
"二虫尽为所吞","所","所·被（为……所）","全被吞掉","= 被动标记"
"从弟子女十人所","所","所·大约","随从的女徒弟约十人左右","= about/approximately"
"且焉置土石","且","且·并且/况且","况且在哪里来放土石","= moreover/besides"
"年且九十","且","且·将近","年龄将近九十","= nearly/almost"
"且欲与常马等不可得","且","且·尚且","尚且想和普通马一样都得不到","= even"
"可远观而不可亵玩焉","焉","焉·语气词","可以远观却不可近玩","= 无实义语气词"
"且焉置土石","焉","焉·代词：哪里","况且在哪里来放土石","= where"
"必有我师焉","焉","焉·兼词：于此","在其中一定有我的老师","= in it/there"
"何以战","何","何·疑问：什么","凭什么作战","= what"
"肉食者谋之，又何间焉","何","何·疑问：怎么","当权者谋划，你何必参与","= why/how"
"水何澹澹","何","何·多么","海水多么浩荡","= how（感叹）"
"学而时习之，不亦说乎","乎","乎·疑问：吗","不是很快乐吗","= ?（疑问语气）"
"叫嚣乎东西","乎","乎·介词：在","在东西方向叫嚣","= at/in"
"其必曰先天下之忧而忧乎","乎","乎·感叹：啊","他一定会说先天下之忧而忧啊","= !（感叹语气）"
"吾与汝毕力平险","与","与·和","我和你一起尽全力铲除险阻","= and/together with"
"蹴尔而与之","与","与·给","用脚踢过去给他","= give"
"其真无马邪？","与","与·语气：吗（同欤）","难道真的没有千里马吗？","= ?（反问语气）"
"因拔刀斫前奏案","因","因·于是","于是拔出刀砍向前面的奏案","= then/thereby"
"高祖因之以成帝业","因","因·凭借","高祖凭借它成就了帝业","= by means of/relying on"
"因事顺心","因","因·因为","因为事情符合心意","= because of"
"若为佣耕","若","若·你","你是个雇工","= you"
"徐公不若君之美也","若","若·如/比得上","徐公不如您美","= as…as"
"若有作奸犯科及为忠善者","若","若·如果","如果有作奸犯科和尽忠行善的人","= if"
"安求其能千里也","安","安·怎么","怎么能要求它日行千里","= how could"
"安得广厦千万间","安","安·哪里","哪里能得到千万间宽敞的大厦","= where"
"安居乐业","安","安·安定/平安","安定地生活愉快地工作","= peaceful/stable"
