front,hl,word,meaning,analogy
"《诗经》开创什么体裁？","","风雅颂","风(民歌)雅(宫廷)颂(祭祀)","风在民间吹，雅在殿堂吟，颂在祭坛唱"
"《离骚》谁的代表作？","","屈原","浪漫主义源头+香草美人手法","香草美人=借花喻人"
"《史记》作者与体例？","","司马迁·纪传体通史","究天人之际，通古今之变","第一部纪传体通史"
"唐宋八大家？","","韩柳+三苏+欧曾王","韩愈柳宗元+三苏+欧阳修曾巩王安石","韩柳三苏欧曾王，古文运动扛大梁"
"唐诗分哪四期？","","初唐/盛唐/中唐/晚唐","初唐四杰→李杜→白居易→小李杜","王杨卢骆开新篇，李杜光芒照盛唐"
"宋词两大流派？","","婉约 vs 豪放","婉约(柳永李清照)豪放(苏轼辛极疾)","婉约儿女情长，豪放家国天下"
"元曲四大家？","","关马郑白","关汉卿马致远郑光祖白朴",""
"四大名著？","","红·清/三·明/水·明/西·明","红楼梦三国水浒西游","明清小说四座山"
"鲁迅代表作？","","《呐喊》《彷徨》《朝花夕拾》","中国现代文学奠基人","横眉冷对千夫指，俯首甘为孺子牛"
"《论语》体裁？","","语录体·孔子弟子及再传弟子","半部论语可治天下",""
"《孟子》核心思想？","","民贵君轻·性善论","论辩体，孟子与弟子合著",""
"陶渊明地位？","","田园诗派鼻祖","采菊东篱下，悠然见南山",""
"杜甫称号？","","诗圣·诗史","沉郁顿挫，忧国忧民",""
"李白称号？","","诗仙·浪漫主义","笔落惊风雨，诗成泣鬼神",""
"苏轼成就？","","豪放派代表+全才","诗文书画全能","一蓑烟雨任平生"
"曹雪芹作品？","","《红楼梦》·清代","满纸荒唐言，一把辛酸泪",""
"建安七子特征？","","建安风骨","慷慨悲凉，孔融陈琳等七人",""
"《左传》体例？","","编年体·春秋左氏传","叙事之最，战争描写顶级",""
"《战国策》体例？","","国别体","策士风采，说辞典范",""
"《资治通鉴》作品？","","司马光·编年体通史","以史为鉴可知兴替",""
