module,type,content,question,options_json,answer,explanation
classical_reading,shici_choice,"右备容臭","句中「容臭」的含义是：","[""当面"", ""快步走"", ""发扬光大"", ""香囊/气味""]",D,"【第一步·判词义】句中「容臭」意为「香囊/气味」，属文言常用义项。
【第二步·析语境】将「香囊/气味」代入原句「右备容臭...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"会天大雨，道不通","句中「会」的含义是：","[""偏私/偏爱"", ""恰逢"", ""当面"", ""仰慕""]",B,"【第一步·判词义】句中「会」意为「恰逢」，属文言常用义项。
【第二步·析语境】将「恰逢」代入原句「会天大雨，道不通...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"于是入朝见威王","句中「朝」的含义是：","[""参与"", ""朝廷"", ""羡慕"", ""怎么""]",B,"【第一步·判词义】句中「朝」意为「朝廷」，属文言常用义项。
【第二步·析语境】将「朝廷」代入原句「于是入朝见威王...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"盖余之勤且艰若此","句中「盖」的含义是：","[""帝王去世"", ""恰逢"", ""大概/发语词"", ""请教""]",C,"【第一步·判词义】句中「盖」意为「大概/发语词」，属文言常用义项。
【第二步·析语境】将「大概/发语词」代入原句「盖余之勤且艰若此...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"道中手自抄录","句中「手」的含义是：","[""发扬光大"", ""低下"", ""亲手（名词作状语）"", ""比得上""]",C,"【第一步·判词义】句中「手」意为「亲手（名词作状语）」，属文言常用义项。
【第二步·析语境】将「亲手（名词作状语）」代入原句「道中手自抄录...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"今亡亦死，举大计亦死","句中「亡」的含义是：","[""间或/偶尔"", ""逃跑"", ""公开批评议论"", ""帝王去世""]",B,"【第一步·判词义】句中「亡」意为「逃跑」，属文言常用义项。
【第二步·析语境】将「逃跑」代入原句「今亡亦死，举大计亦死...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"度已失期","句中「度」的含义是：","[""平和"", ""低下"", ""当面"", ""估计（duó）""]",D,"【第一步·判词义】句中「度」意为「估计（duó）」，属文言常用义项。
【第二步·析语境】将「估计（duó）」代入原句「度已失期...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"俟其欣悦，则又请焉","句中「俟」的含义是：","[""等待"", ""怎么"", ""比得上"", ""朝廷""]",A,"【第一步·判词义】句中「俟」意为「等待」，属文言常用义项。
【第二步·析语境】将「等待」代入原句「俟其欣悦，则又请焉...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"吾妻之美我者，私我也","句中「私」的含义是：","[""选拔"", ""时候/时期"", ""偏私/偏爱"", ""恰逢""]",C,"【第一步·判词义】句中「私」意为「偏私/偏爱」，属文言常用义项。
【第二步·析语境】将「偏私/偏爱」代入原句「吾妻之美我者，私我也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"徐公何能及君也","句中「及」的含义是：","[""比得上"", ""使……听到"", ""即使"", ""去/往（动词）""]",A,"【第一步·判词义】句中「及」意为「比得上」，属文言常用义项。
【第二步·析语境】将「比得上」代入原句「徐公何能及君也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"能谤讥于市朝","句中「谤讥」的含义是：","[""公开批评议论"", ""身高"", ""两次"", ""被……所苦""]",A,"【第一步·判词义】句中「谤讥」意为「公开批评议论」，属文言常用义项。
【第二步·析语境】将「公开批评议论」代入原句「能谤讥于市朝...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"余幼时即嗜学","句中「嗜」的含义是：","[""眼泪"", ""特别爱好"", ""得到"", ""使……听到""]",B,"【第一步·判词义】句中「嗜」意为「特别爱好」，属文言常用义项。
【第二步·析语境】将「特别爱好」代入原句「余幼时即嗜学...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"门人弟子填其室","句中「填」的含义是：","[""挤满"", ""发扬光大"", ""羡慕"", ""同样""]",A,"【第一步·判词义】句中「填」意为「挤满」，属文言常用义项。
【第二步·析语境】将「挤满」代入原句「门人弟子填其室...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"家贫，无从致书以观","句中「致」的含义是：","[""不长草木之地"", ""得到"", ""公开批评议论"", ""供养/享受""]",B,"【第一步·判词义】句中「致」意为「得到」，属文言常用义项。
【第二步·析语境】将「得到」代入原句「家贫，无从致书以观...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"俯身倾耳以请","句中「倾」的含义是：","[""羡慕"", ""侧着"", ""当面"", ""两次""]",B,"【第一步·判词义】句中「倾」意为「侧着」，属文言常用义项。
【第二步·析语境】将「侧着」代入原句「俯身倾耳以请...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"援疑质理","句中「质」的含义是：","[""得到"", ""取胜"", ""询问"", ""当面""]",C,"【第一步·判词义】句中「质」意为「询问」，属文言常用义项。
【第二步·析语境】将「询问」代入原句「援疑质理...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,test123,"句中「」的含义是：","[""当面"", """", ""平和"", ""去/往（动词）""]",B,"【第一步·判词义】句中「」意为「」，属文言常用义项。
【第二步·析语境】将「」代入原句「test123...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"非天质之卑，则心不若余之专耳","句中「卑」的含义是：","[""取胜"", ""怎么"", ""低下"", ""排除/铲除""]",C,"【第一步·判词义】句中「卑」意为「低下」，属文言常用义项。
【第二步·析语境】将「低下」代入原句「非天质之卑，则心不若余之专耳...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"益慕圣贤之道","句中「慕」的含义是：","[""供养/享受"", ""善良公正"", ""等待"", ""仰慕""]",D,"【第一步·判词义】句中「慕」意为「仰慕」，属文言常用义项。
【第二步·析语境】将「仰慕」代入原句「益慕圣贤之道...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"故余虽愚，卒获有所闻","句中「虽」的含义是：","[""即使"", ""时候/时期"", ""供养/享受"", ""逃跑""]",A,"【第一步·判词义】句中「虽」意为「即使」，属文言常用义项。
【第二步·析语境】将「即使」代入原句「故余虽愚，卒获有所闻...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"未尝不叹息痛恨于桓灵也","句中「痛恨」的含义是：","[""特别爱好"", ""被……所苦"", ""取胜"", ""痛心遗憾""]",D,"【第一步·判词义】句中「痛恨」意为「痛心遗憾」，属文言常用义项。
【第二步·析语境】将「痛心遗憾」代入原句「未尝不叹息痛恨于桓灵也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"媵人持汤沃灌","句中「汤」的含义是：","[""热水"", ""仰慕"", ""即使"", ""当面""]",A,"【第一步·判词义】句中「汤」意为「热水」，属文言常用义项。
【第二步·析语境】将「热水」代入原句「媵人持汤沃灌...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
