front,hl,word,meaning,analogy
"群臣吏民能面刺寡人之过者","面","面","当面","像「当面」说一样，face to face"
"邹忌修八尺有余","修","修","身高","相当于「身高/长度」"
"徐公何能及君也","及","及","比得上","= 赶得上/比得上"
"吾妻之美我者，私我也","私","私","偏私/偏爱","= 私下偏向"
"能谤讥于市朝","谤讥","谤讥","公开批评议论","≈ 公开提意见（非贬义）"
"闻寡人之耳者","闻","闻","使……听到","= 让……听见"
"于是入朝见威王","朝","朝","朝廷","= 上朝/朝廷"
"数月之后，时时而间进","间","间","间或/偶尔","= occasionally"
"此所谓战胜于朝廷","战胜","战胜","取胜","在朝廷上取胜（无需出兵）"
"先帝创业未半而中道崩殂","崩殂","崩殂","帝王去世","= 驾崩"
"此诚危急存亡之秋也","秋","秋","时候/时期","= 关键时刻"
"盖追先帝之殊遇","殊遇","殊遇","特殊的厚待","=特别待遇"
"是以先帝简拔以遗陛下","简拔","简拔","选拔","= 挑选提拔"
"性行淑均","淑均","淑均","善良公正","= 品性善良公正"
"未尝不叹息痛恨于桓灵也","痛恨","痛恨","痛心遗憾","古义≠今义；不是恨，是遗憾"
"由是感激，遂许先帝以驱驰","感激","感激","感动奋发","= 感动+激奋"
"深入不毛","不毛","不毛","不长草木之地","= 不长草木的地方"
"攘除奸凶","攘除","攘除","排除/铲除","= 铲除"
"临表涕零","涕","涕","眼泪","≠鼻涕；古义为眼泪"
"以光先帝遗德","光","光","发扬光大","= 使……光大"
"道中手自抄录","手","手","亲手（名词作状语）","= by hand/亲手"
"与之论辩，言和而色夷","夷","夷","平和","= 平易/平和"
"余幼时即嗜学","嗜","嗜","特别爱好","= 沉迷于/酷爱"
"家贫，无从致书以观","致","致","得到","= 弄到/获得"
"益慕圣贤之道","慕","慕","仰慕","= 仰慕/敬佩"
"尝趋百里外","趋","趋","快步走","= 快走/奔赴"
"从乡之先达执经叩问","叩问","叩问","请教","= 敲门请教"
"门人弟子填其室","填","填","挤满","= 塞满/人多"
"援疑质理","质","质","询问","= 质问/询问"
"俯身倾耳以请","倾","倾","侧着","= 倾侧/侧耳倾听"
"俟其欣悦，则又请焉","俟","俟","等待","= wait/等候"
"卒获有所闻","卒","卒","终于","= finally/最终"
"故余虽愚，卒获有所闻","虽","虽","即使","= even if"
"穷冬烈风，大雪深数尺","穷冬","穷冬","深冬/严冬","= 极冷的冬天"
"足肤皲裂而不知","皲裂","皲裂","皮肤冻裂","= 皮肤开裂"
"媵人持汤沃灌","汤","汤","热水","≠菜汤；古义为热水"
"以衾拥覆，久而乃和","和","和","暖和","= 暖和/warm"
"寓逆旅，主人日再食","再","再","两次","= 两次（不是again）"
"右备容臭","容臭","容臭","香囊/气味","≠臭味；古义为香气"
"烨然若神人","烨然","烨然","光彩照人的样子","= 光彩耀眼"
"余则缊袍敝衣处其间","缊","缊","破旧/乱麻","= 破旧的"
"略无慕艳意","慕艳","慕艳","羡慕","= 羡慕"
"以中有足乐者","以","以","因为","= because"
"不知口体之奉不若人也","奉","奉","供养/享受","= 待遇/供给"
"盖余之勤且艰若此","盖","盖","大概/发语词","≈ 大概是这样"
"今虽耄老，未有所成","耄老","耄老","年老（八九十岁）","= 老年"
"犹幸预君子之列","预","预","参与","= 参与/列入"
"而承天子之宠光","宠光","宠光","恩宠荣耀","= 恩宠和荣耀"
"缀公卿之后","缀","缀","跟随/列于","= 跟在……后面"
"非天质之卑，则心不若余之专耳","卑","卑","低下","= 资质差 vs 专心不够"
"辍耕之垄上","之","之","去/往（动词）","= go to"
"苟富贵，无相忘","苟","苟","如果","= if"
"燕雀安知鸿鹄之志哉","安","安","怎么","= how could"
"会天大雨，道不通","会","会","恰逢","= 碰巧遇到"
"度已失期","度","度","估计（duó）","= 推测/估量"
"今亡亦死，举大计亦死","亡","亡","逃跑","≠死亡；此处指逃亡"
"等死，死国可乎","等","等","同样","= equally"
"天下苦秦久矣","苦","苦","被……所苦","= 受……之苦"
